name,mrp,discountpercent
Sunfeast Yippee! Power Up Atta Noodles,96,15
Wingreens Farms Tangy Cheese Pita Chips & Mexican Salsa Dip,60,15
Cantina Tortilla Dip Sauce Sour Creamy Tex Mex,225,15
Pantai Sriracha Red Chilli Sauce,225,15
Pantai Teriyaki Sauce with Garlic,325,15
Cantina Tabasco Red Sauce,140,15
Pantai Sriracha Yellow Chilli Sauce,225,15
Pantai Sriracha Green Chilli Sauce,225,15
Cantina Tabasco Green Sauce,140,15
iD Idli & Dosa Batter ,80,15
Yogabar No Added Sugar Protein Bar Brownie,125,15
Sunfeast Yippee! Power Up Atta Noodles,96,15
Wingreens Farms Tangy Cheese Pita Chips & Mexican Salsa Dip,60,15
Cantina Tortilla Dip Sauce Sour Creamy Tex Mex,225,15
Pantai Sriracha Red Chilli Sauce,225,15
Pantai Teriyaki Sauce with Garlic,325,15
Cantina Tabasco Red Sauce,140,15
Pantai Sriracha Yellow Chilli Sauce,225,15
Pantai Sriracha Green Chilli Sauce,225,15
Cantina Tabasco Green Sauce,140,15
Arden Eggs White,65,15
Sunfeast Dark Fantasy Choco Fills Cookies Packet,150,15
Britannia Good Day Chunky Cookies,50,15
Sunfeast Mom's Magic Cashew & Almond Biscuits,120,15
Sunfeast Dark Fantasy Vanilla Creme,80,15
Unibic Choco Kiss Cookies,45,15
Indulekha Bhringa Hair Oil,432,15
Nivea Soft Light Moisturizer for Face Hand & Body Non-Sticky Cream with Vitamin E & Jojoba Oil ,185,15
Nivea Lip Balm Original Care for 24h Moisture with Shea Butter & Natural Oils,140,15
Fem Fairness Naturals Saffron Skin Bleach,85,15
Comfy Baby Pants XL 12-17 kg,429,15
Colgate Max Fresh Peppermint Toothpaste ,182,15
Mamaearth Ubtan Body Lotion,399,15
Nivea Soft Light Moisturizer for Face Hand & Body Non-Sticky Cream with Vitamin E & Jojoba Oil,310,15
Himalaya Purifying Neem Face Wash Tube,270,15
Mamaearth Skin Correct Face Serum,599,15
Nivea Soft Light Moisturizing Cream,185,15
Dove Hair Fall Rescue Shampoo,280,15
Indulekha Bhringa Hair Oil,432,15
